Descriptives for 5-point scale items:
NOTE: Total N for sample is : 1050 
                vars   n mean   sd median trimmed  mad min max range  skew kurtosis   se
C2_1_WLB           1 898 3.82 1.05      4    3.94 1.48   1   5     4 -0.77    -0.08 0.04
C2_2_WLB           2 895 3.61 1.10      4    3.70 1.48   1   5     4 -0.73    -0.17 0.04
C2_3_WLB           3 896 3.15 1.10      3    3.11 1.48   1   5     4  0.04    -1.04 0.04
C2_4_WLB           4 895 3.21 1.17      3    3.24 1.48   1   5     4 -0.28    -0.94 0.04
C2_5_WLB           5 895 3.03 1.13      3    3.03 1.48   1   5     4 -0.04    -0.99 0.04
D1_1_Barrier       6 869 2.40 1.28      2    2.29 1.48   1   5     4  0.46    -0.97 0.04
D1_2_Barrier       7 865 1.80 1.12      1    1.59 0.00   1   5     4  1.28     0.65 0.04
D1_5_Barrier       8 865 2.26 1.22      2    2.14 1.48   1   5     4  0.56    -0.78 0.04
D1_6_Barrier       9 865 1.68 1.06      1    1.46 0.00   1   5     4  1.57     1.67 0.04
D1_8_Barrier      10 864 2.23 1.19      2    2.11 1.48   1   5     4  0.53    -0.82 0.04
D2_1_Conf         11 867 3.21 1.25      4    3.26 1.48   1   5     4 -0.26    -1.15 0.04
D2_2_SE           12 865 3.05 1.22      3    3.06 1.48   1   5     4 -0.08    -1.15 0.04
D2_3_PubSpk       13 866 2.67 1.29      2    2.59 1.48   1   5     4  0.32    -1.07 0.04
D2_4_IntPers      14 863 2.26 1.14      2    2.14 1.48   1   5     4  0.80    -0.22 0.04
D2_5_IQ           15 866 2.67 1.23      2    2.61 1.48   1   5     4  0.29    -1.06 0.04
D2_6_PersEffic    16 865 2.48 1.13      2    2.42 1.48   1   5     4  0.48    -0.73 0.04
D2_7_PersEffect   17 866 2.56 1.16      2    2.52 1.48   1   5     4  0.37    -0.96 0.04
D2_8_Tech         18 867 2.75 1.12      3    2.75 1.48   1   5     4  0.15    -1.00 0.04
E1_1_CultFit      19 792 2.19 1.16      2    2.06 1.48   1   5     4  0.62    -0.57 0.04
E1_2_CultFit      20 791 2.74 1.27      3    2.68 1.48   1   5     4  0.16    -1.04 0.05
E1_3_CultFit      21 786 2.13 1.21      2    1.97 1.48   1   5     4  0.80    -0.42 0.04
E1_4_CultFit      22 790 2.36 1.21      2    2.25 1.48   1   5     4  0.57    -0.66 0.04
E1_5_CultFit      23 792 2.13 1.15      2    1.98 1.48   1   5     4  0.78    -0.28 0.04
E1_6_CultFit      24 791 2.05 1.21      2    1.89 1.48   1   5     4  0.85    -0.40 0.04
E1_7_CultFit      25 790 2.82 1.36      3    2.78 1.48   1   5     4  0.14    -1.17 0.05
E2_1_Network      26 791 1.90 1.10      1    1.71 0.00   1   5     4  1.05     0.17 0.04
E2_2_Network      27 791 2.11 1.16      2    1.96 1.48   1   5     4  0.79    -0.34 0.04
E3_1_Mentor       28 789 2.84 1.24      3    2.80 1.48   1   5     4  0.11    -0.98 0.04
E3_2_Mentor       29 788 2.80 1.42      3    2.75 1.48   1   5     4  0.12    -1.31 0.05
E3_3_Mentor       30 787 2.62 1.25      3    2.55 1.48   1   5     4  0.29    -0.96 0.04
E3_4_Mentor       31 789 2.78 1.29      3    2.73 1.48   1   5     4  0.20    -1.03 0.05
E4_1_CarMgt       32 791 2.76 1.30      3    2.70 1.48   1   5     4  0.22    -1.05 0.05
E4_2_CarMgt       33 790 2.68 1.32      3    2.60 1.48   1   5     4  0.27    -1.10 0.05
E4_3_CarMgt       34 791 2.34 1.24      2    2.22 1.48   1   5     4  0.52    -0.82 0.04
E5_1_DevAsst      35 790 2.22 1.25      2    2.08 1.48   1   5     4  0.66    -0.69 0.04
E5_2_DevAsst      36 790 2.42 1.20      2    2.33 1.48   1   5     4  0.40    -0.83 0.04
E5_3_DevAsst      37 785 2.37 1.24      2    2.26 1.48   1   5     4  0.47    -0.85 0.04
E5_4_DevAsst      38 789 2.43 1.29      2    2.31 1.48   1   5     4  0.47    -0.95 0.05
E5_5_DevAsst      39 789 2.49 1.27      2    2.39 1.48   1   5     4  0.40    -0.97 0.05
E5_6_DevAsst      40 784 2.30 1.24      2    2.19 1.48   1   5     4  0.56    -0.79 0.04
E5_7_DevAsst      41 782 2.22 1.24      2    2.08 1.48   1   5     4  0.66    -0.67 0.04
E6_1_GeogMob      42 786 1.67 1.07      1    1.43 0.00   1   5     4  1.54     1.34 0.04
E6_2_GeogMob      43 781 1.45 0.89      1    1.23 0.00   1   5     4  2.04     3.42 0.03
E6_3_GeogMob      44 780 1.63 1.06      1    1.40 0.00   1   5     4  1.61     1.56 0.04
F2_1_OwnCareer    45 703 3.63 1.14      4    3.75 1.48   1   5     4 -0.72    -0.14 0.04
F2_2_OwnCareer    46 700 3.18 1.30      3    3.23 1.48   1   5     4 -0.32    -0.99 0.05
F2_3_OwnCareer    47 704 3.60 1.16      4    3.72 1.48   1   5     4 -0.66    -0.31 0.04
F2_4_OwnCareer    48 702 3.51 1.18      4    3.60 1.48   1   5     4 -0.48    -0.64 0.04
F3_1_Relships     49 702 3.85 1.08      4    3.99 1.48   1   5     4 -0.92     0.30 0.04
F3_2_Relships     50 702 3.61 1.12      4    3.70 1.48   1   5     4 -0.54    -0.44 0.04
F3_3_Relships     51 702 4.05 0.96      4    4.19 1.48   1   5     4 -1.05     0.85 0.04
F3_4_Relships     52 703 3.59 1.12      4    3.68 1.48   1   5     4 -0.62    -0.24 0.04
F4_1_Mentor       53 700 3.28 1.33      4    3.35 1.48   1   5     4 -0.42    -1.01 0.05
F4_2_Mentor       54 699 2.86 1.36      3    2.82 1.48   1   5     4  0.00    -1.23 0.05
F4_3_Mentor       55 699 3.00 1.35      3    2.99 1.48   1   5     4 -0.16    -1.21 0.05
F4_4_Mentor       56 698 3.23 1.39      4    3.28 1.48   1   5     4 -0.35    -1.16 0.05
F4_5_Mentor       57 694 3.28 1.33      4    3.35 1.48   1   5     4 -0.37    -1.06 0.05
F4_6_Mentor       58 697 3.12 1.42      3    3.15 1.48   1   5     4 -0.22    -1.27 0.05
F4_7_Mentor       59 696 3.54 1.35      4    3.67 1.48   1   5     4 -0.62    -0.82 0.05
F4_8_Mentor       60 697 3.16 1.36      3    3.21 1.48   1   5     4 -0.25    -1.14 0.05
F5_1_DevAss       61 698 3.54 1.19      4    3.66 1.48   1   5     4 -0.72    -0.34 0.04
F5_2_DevAss       62 698 3.63 1.12      4    3.76 1.48   1   5     4 -0.79     0.05 0.04
F5_3_DevAss       63 695 3.22 1.26      3    3.27 1.48   1   5     4 -0.38    -0.91 0.05
F5_4_DevAss       64 697 3.48 1.16      4    3.58 1.48   1   5     4 -0.65    -0.34 0.04
F6_1_ProcJust     65 700 2.71 1.15      3    2.69 1.48   1   5     4  0.19    -0.90 0.04
F6_2_ProcJust     66 698 3.50 1.03      4    3.54 1.48   1   5     4 -0.58    -0.35 0.04
F6_3_ProcJust     67 698 3.18 1.17      3    3.22 1.48   1   5     4 -0.17    -0.79 0.04
F6_4_ProcJust     68 699 2.76 1.25      3    2.72 1.48   1   5     4  0.16    -1.17 0.05
F6_5_ProcJust     69 699 2.51 1.15      2    2.46 1.48   1   5     4  0.36    -0.81 0.04
F7_1_DistJust     70 700 3.22 1.14      4    3.28 1.48   1   5     4 -0.45    -0.84 0.04
F7_2_DistJust     71 698 3.10 1.17      3    3.15 1.48   1   5     4 -0.28    -1.03 0.04
F7_3_DistJust     72 694 3.36 0.96      4    3.41 1.48   1   5     4 -0.56    -0.31 0.04
F7_4_DistJust     73 700 2.92 1.02      3    2.98 1.48   1   5     4 -0.19    -0.80 0.04
F7_5_DistJust     74 698 2.79 1.23      3    2.77 1.48   1   5     4  0.07    -1.12 0.05
F8_1_Empower      75 700 3.59 1.05      4    3.67 1.48   1   5     4 -0.75     0.00 0.04
F8_2_Empower      76 697 3.62 1.04      4    3.70 1.48   1   5     4 -0.74    -0.09 0.04
F8_3_Empower      77 699 3.63 1.01      4    3.71 1.48   1   5     4 -0.72    -0.02 0.04
F8_4_Empower      78 698 2.89 1.21      3    2.88 1.48   1   5     4  0.00    -1.11 0.05
F9_1_DevAss       79 698 3.75 0.99      4    3.85 0.00   1   5     4 -0.97     0.54 0.04
F9_2_DevAss       80 697 3.53 1.05      4    3.59 1.48   1   5     4 -0.57    -0.32 0.04
F9_3_DevAss       81 697 3.47 1.15      4    3.54 1.48   1   5     4 -0.49    -0.64 0.04
F10_1_Turnover    82 700 3.06 1.31      3    3.07 1.48   1   5     4 -0.07    -1.14 0.05
F10_2_Turnover    83 696 3.08 1.30      3    3.10 1.48   1   5     4 -0.08    -1.13 0.05
F10_3_Turnover    84 700 3.19 1.30      3    3.24 1.48   1   5     4 -0.25    -1.09 0.05
F10_4_Turnover    85 701 2.83 1.25      3    2.79 1.48   1   5     4  0.26    -0.87 0.05
F11_1_JobSat      86 703 3.72 0.94      4    3.82 0.00   1   5     4 -1.00     0.95 0.04
F11_2_JobSat      87 702 3.54 1.03      4    3.61 0.00   1   5     4 -0.81     0.03 0.04
F11_3_JobSat      88 703 2.39 0.99      2    2.31 1.48   1   5     4  0.74     0.15 0.04
F11_4_JobSat      89 702 3.77 0.90      4    3.86 0.00   1   5     4 -0.86     0.68 0.03
F11_5_JobSat      90 703 1.96 0.93      2    1.83 1.48   1   5     4  1.04     0.97 0.04
F12_1_CareerSat   91 704 3.55 1.05      4    3.60 1.48   1   5     4 -0.60    -0.52 0.04
F12_2_CareerSat   92 703 3.42 1.06      4    3.45 1.48   1   5     4 -0.47    -0.61 0.04
F12_3_CareerSat   93 703 3.23 1.16      3    3.26 1.48   1   5     4 -0.25    -0.94 0.04
F12_4_CareerSat   94 703 3.17 1.09      3    3.17 1.48   1   5     4 -0.17    -0.89 0.04
F12_5_CareerSat   95 704 3.51 1.02      4    3.55 1.48   1   5     4 -0.53    -0.40 0.04
Descriptives for 7-point scale items:
               vars   n mean   sd median trimmed  mad min max range  skew kurtosis   se
D3_1_Decn         1 867 5.26 1.25      6    5.37 1.48   1   7     6 -0.89     0.51 0.04
D3_2_Grow         2 869 5.66 1.29      6    5.87 1.48   1   7     6 -1.38     1.85 0.04
D3_4_Chall        3 866 5.71 1.14      6    5.87 1.48   1   7     6 -1.29     2.11 0.04
F13_1_LifeSat     4 704 4.76 1.50      5    4.86 1.48   1   7     6 -0.65    -0.38 0.06
F13_2_LifeSat     5 703 5.06 1.43      5    5.18 1.48   1   7     6 -0.81    -0.02 0.05
F13_3_LifeSat     6 702 5.25 1.36      6    5.40 1.48   1   7     6 -1.05     0.67 0.05
F13_4_LifeSat     7 702 5.37 1.39      6    5.54 1.48   1   7     6 -1.07     0.67 0.05
F13_5_LifeSat     8 704 4.14 1.74      4    4.14 2.97   1   7     6 -0.09    -1.21 0.07
F14a_1_CarSucc    9 703 5.21 0.96      5    5.34 1.48   1   7     6 -1.13     1.82 0.04
F14a_2_CarSucc   10 702 5.17 1.25      5    5.29 1.48   1   7     6 -0.94     0.59 0.05
F14a_3_CarSucc   11 703 5.70 1.05      6    5.81 1.48   2   7     5 -0.94     0.86 0.04
